Name,Calories,Image URL,Serving Size,Fat(g),Carbohydrate(g),Protein(g),Cholesterol(mg),Sodium(mg),Category,URL
Lola's Horchata,213,https://images.media-allrecipes.com/userphotos/300x300/3365053.jpg,6,0.6 ,48.4,2.9 ,2 ,16 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/141828/lolas-horchata/
Oatmeal and Wheat Flour Blueberry Pancakes,250,https://images.media-allrecipes.com/userphotos/300x300/4619.jpg,8,10.9 ,30.8,8.2 ,70 ,530 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/33116/oatmeal-and-wheat-flour-blueberry-pancakes/
Apple Breakfast Bread,279,https://images.media-allrecipes.com/userphotos/300x300/262187.jpg,10,10.5 ,43.2,4 ,62 ,323 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/72575/apple-breakfast-bread/
Asparagus Quiche,334,https://images.media-allrecipes.com/userphotos/300x300/1000410.jpg,12,26.3 ,12.4,12.4 ,106 ,383 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/20498/asparagus-quiche/
Waffles II,491,https://images.media-allrecipes.com/userphotos/300x300/1001712.jpg,4,25.3 ,53.1,12.6 ,100 ,579 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/22183/waffles-ii/
Mom's Best Waffles,410,https://images.media-allrecipes.com/userphotos/300x300/280130.jpg,4,12.3 ,60.3,13.6 ,103 ,847 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/25220/moms-best-waffles/
Chocolate Chip Orange Zucchini Bread,280,https://images.media-allrecipes.com/userphotos/300x300/688015.jpg,24,15.3 ,34.3,3.6 ,23 ,165 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/6730/chocolate-chip-orange-zucchini-bread/
Chunky Monkey Pancakes,195,https://images.media-allrecipes.com/userphotos/300x300/439294.jpg,9,10.2 ,23.4,4.4 ,52 ,369 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/169652/chunky-monkey-pancakes/
Lower Fat Banana Bread I,169,https://images.media-allrecipes.com/userphotos/300x300/5202679.jpg,12,4.9 ,28.8,3.1 ,31 ,275 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/6754/lower-fat-banana-bread-i/
Apple Raisin French Toast Strata,354,https://images.media-allrecipes.com/userphotos/300x300/1080868.jpg,12,23.1 ,28.3,10.1 ,178 ,310 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/24132/apple-raisin-french-toast-strata/
Quiche,260,https://images.media-allrecipes.com/userphotos/300x300/99175.jpg,8,17.2 ,14.1,12 ,96 ,377 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/23772/quiche/
Easy Spicy Roasted Potatoes,473,https://images.media-allrecipes.com/userphotos/300x300/548200.jpg,4,26.1 ,47.6,14.4 ,36 ,1685 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/88758/easy-spicy-roasted-potatoes/
German Pancakes II,235,https://images.media-allrecipes.com/userphotos/300x300/4584.jpg,6,13.6 ,18.2,9.9 ,210 ,190 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/36900/german-pancakes-ii/
Baked Omelet,314,https://images.media-allrecipes.com/userphotos/300x300/2263552.jpg,4,21.2 ,5.9,24.8 ,415 ,738 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/15051/baked-omelet/
Brown Sugar Banana Nut Bread I,273,https://images.media-allrecipes.com/userphotos/300x300/1995947.jpg,12,12.1 ,37.9,4.5 ,51 ,257 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/22722/brown-sugar-banana-nut-bread-i/
Baked Oatmeal I,378,https://images.media-allrecipes.com/userphotos/300x300/5446101.jpg,8,17.8 ,49.8,6.7 ,49 ,305 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/20496/baked-oatmeal-i/
"Whole Wheat, Oatmeal, and Banana Pancakes",333,https://images.media-allrecipes.com/userphotos/300x300/506758.jpg,6,8.5 ,54.7,11 ,38 ,524 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/166601/whole-wheat-oatmeal-and-banana-pancakes/
Egg in a Hole,231,https://images.media-allrecipes.com/userphotos/300x300/2408957.jpg,1,15.9 ,13.1,8.7 ,208 ,285 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/187850/egg-in-a-hole/
Apple-Raisin French Toast Casserole,341,https://images.media-allrecipes.com/userphotos/300x300/1449378.jpg,12,11.5 ,51.8,9 ,116 ,354 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/45620/apple-raisin-french-toast-casserole/
Mom's Applesauce Pancakes,319,https://images.media-allrecipes.com/userphotos/300x300/392439.jpg,4,4.3 ,60.2,10.1 ,95 ,1016 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/21429/moms-applesauce-pancakes/
Christmas Brunch Casserole,494,https://images.media-allrecipes.com/userphotos/300x300/1868225.jpg,5,28.6 ,31.9,28.1 ,217 ,1518 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/15047/christmas-brunch-casserole/
Super Moist Pumpkin Bread,360,https://images.media-allrecipes.com/userphotos/300x300/1023542.jpg,20,17.7 ,48.9,3.6 ,0 ,257 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/9217/super-moist-pumpkin-bread/
Banana Bread - Quick Bread for Machines,221,https://images.media-allrecipes.com/userphotos/300x300/59947.jpg,10,5.4 ,39.7,4.1 ,37 ,126 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/7116/banana-bread-quick-bread-for-machines/
Bacon Quiche Tarts,232,https://images.media-allrecipes.com/userphotos/300x300/4274736.jpg,10,16.6 ,12.4,8.2 ,72 ,464 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/23788/bacon-quiche-tarts/
Banana Nut Bread I,256,https://images.media-allrecipes.com/userphotos/300x300/882746.jpg,24,11.1 ,37.1,3.3 ,24 ,132 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/6777/banana-nut-bread-i/
All-Around Good Smoothie,345,https://images.media-allrecipes.com/userphotos/300x300/1017594.jpg,1,5.6 ,55.9,26.2 ,5 ,271 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/74174/all-around-good-smoothie/
Orange Pecan French Toast,235,https://images.media-allrecipes.com/userphotos/300x300/19427.jpg,12,8.8 ,35.8,4.5 ,45 ,166 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/76278/orange-pecan-french-toast/
Veronica's Apple Pancakes,322,https://images.media-allrecipes.com/userphotos/300x300/186974.jpg,4,14.4 ,40.6,7.8 ,82 ,238 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/23095/veronicas-apple-pancakes/
Grain and Nut Whole Wheat Pancakes,383,https://images.media-allrecipes.com/userphotos/300x300/329000.jpg,6,15.5 ,52.2,11.8 ,37 ,769 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/57606/grain-and-nut-whole-wheat-pancakes/
Sunshine Toast,342,https://images.media-allrecipes.com/userphotos/300x300/4526655.jpg,1,28.8 ,13.1,8.4 ,247 ,404 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/24527/sunshine-toast/
Groovy Green Smoothie,205,https://images.media-allrecipes.com/userphotos/300x300/451120.jpg,2,1.9 ,45,6.1 ,4 ,76 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/90329/groovy-green-smoothie/
Banana Peanut Butter Bread,266,https://images.media-allrecipes.com/userphotos/300x300/437365.jpg,15,13.9 ,32.1,5.5 ,41 ,179 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/17013/banana-peanut-butter-bread/
Omelet in a Bag,484,https://images.media-allrecipes.com/userphotos/300x300/2612821.jpg,1,33.7 ,7.9,37.7 ,463 ,1322 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/85107/omelet-in-a-bag/
Louisiana Sweet Potato Pancakes,215,https://images.media-allrecipes.com/userphotos/300x300/257720.jpg,8,8.2 ,29.2,6.2 ,65 ,549 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/36168/louisiana-sweet-potato-pancakes/
Individual Baked Eggs,174,https://images.media-allrecipes.com/userphotos/300x300/45807.jpg,1,14.3 ,0.6,10.7 ,212 ,305 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/54117/individual-baked-eggs/
Baked Omelet Roll,206,https://images.media-allrecipes.com/userphotos/300x300/959321.jpg,6,12.1 ,10.5,13.4 ,209 ,398 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/20690/baked-omelet-roll/
Tater Tot Casserole I,475,https://images.media-allrecipes.com/userphotos/300x300/456264.jpg,10,36.4 ,25.8,16 ,96 ,845 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/23912/tater-tot-casserole-i/
Joseph's Best Easy Bacon Recipe,134,https://images.media-allrecipes.com/userphotos/300x300/1403929.jpg,6,10.4 ,0.4,9.2 ,27 ,574 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/
Amazing Muffin Cups,224,https://images.media-allrecipes.com/userphotos/300x300/4589482.jpg,12,18.3 ,8.7,11.2 ,114 ,413 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/231510/amazing-muffin-cups/
Banana-Zucchini Bread,272,https://images.media-allrecipes.com/userphotos/300x300/3894402.jpg,20,11.1 ,40.2,3.9 ,28 ,230 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/
Make Ahead Breakfast Casserole,419,https://images.media-allrecipes.com/userphotos/300x300/3540105.jpg,10,32.4 ,14,18.2 ,132 ,882 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/23905/make-ahead-breakfast-casserole/
Peanut Butter and Banana French Toast,346,https://images.media-allrecipes.com/userphotos/300x300/129012.jpg,2,23.2 ,27.6,9.8 ,124 ,362 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/21484/peanut-butter-and-banana-french-toast/
Monkey Bread V,393,https://images.media-allrecipes.com/userphotos/300x300/2616462.jpg,12,17 ,56.8,4.8 ,< 1 ,787 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/6925/monkey-bread-v/
Country Quiche,328,https://images.media-allrecipes.com/userphotos/300x300/15378.jpg,8,25.6 ,13.4,10.9 ,122 ,453 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/20746/country-quiche/
French Toast Souffle,241,https://images.media-allrecipes.com/userphotos/300x300/6571.jpg,12,9.8 ,28.4,9.8 ,142 ,321 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/20935/french-toast-souffle/
Lower Fat Banana Bread II,178,https://images.media-allrecipes.com/userphotos/300x300/4072908.jpg,12,4.3 ,31.2,3.9 ,31 ,225 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/
Fluffy Canadian Pancakes,197,https://images.media-allrecipes.com/userphotos/300x300/3363449.jpg,4,4.8 ,28,9.9 ,159 ,325 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/42688/fluffy-canadian-pancakes/
Favorite Banana Blueberry Quick Bread,278,https://images.media-allrecipes.com/userphotos/300x300/6646.jpg,12,13.1 ,37.7,3.9 ,31 ,166 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/7163/favorite-banana-blueberry-quick-bread/
Rich and Delicious Banana Bread,268,https://images.media-allrecipes.com/userphotos/300x300/10548.jpg,10,10.6 ,42.4,2.3 ,0 ,359 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/17656/rich-and-delicious-banana-bread/
Cinnamon Griddle Cakes,330,https://images.media-allrecipes.com/userphotos/300x300/255029.jpg,8,7.9 ,59.5,5.2 ,64 ,401 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/20140/cinnamon-griddle-cakes/
Breakfast Casserole III,552,https://images.media-allrecipes.com/userphotos/300x300/352164.jpg,8,38.1 ,29.9,23 ,340 ,907 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/34763/breakfast-casserole-iii/
Grandma's Peach French Toast,362,https://images.media-allrecipes.com/userphotos/300x300/723081.jpg,8,15 ,51.3,7.2 ,147 ,276 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/72662/grandmas-peach-french-toast/
Hash Brown Quiche,338,https://images.media-allrecipes.com/userphotos/300x300/213975.jpg,6,28.9 ,15.9,14.4 ,127 ,793 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/43475/hash-brown-quiche/
Chef John's Quiche Lorraine,491,https://images.media-allrecipes.com/userphotos/300x300/875235.jpg,8,41.4 ,14.5,15.6 ,206 ,472 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/223196/chef-johns-quiche-lorraine/
Wonderful Waffles,329,https://images.media-allrecipes.com/userphotos/300x300/3388079.jpg,6,11.1 ,46.2,10.8 ,126 ,638 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/45622/wonderful-waffles/
Pumpkin Waffles with Apple Cider Syrup,530,https://images.media-allrecipes.com/userphotos/300x300/493193.jpg,6,17.1 ,82.3,13 ,161 ,703 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/65691/pumpkin-waffles-with-apple-cider-syrup/
Irish Soda Bread I,215,https://images.media-allrecipes.com/userphotos/300x300/374447.jpg,20,5.8 ,36.8,4.5 ,38 ,194 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/6750/irish-soda-bread-i/
Ham and Cheese Quiche,283,https://images.media-allrecipes.com/userphotos/300x300/973972.jpg,8,20.1 ,14.3,11.3 ,103 ,621 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/12221/ham-and-cheese-quiche/
Stovetop Granola,529,https://images.media-allrecipes.com/userphotos/300x300/1230306.jpg,4,30.3 ,59.7,9.3 ,41 ,115 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/93132/stovetop-granola/
Strawberry Vanilla Pancakes,280,https://images.media-allrecipes.com/userphotos/300x300/822812.jpg,4,9.7 ,37.7,7.1 ,51 ,807 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/84892/strawberry-vanilla-pancakes/
Honey Nut Granola,188,https://images.media-allrecipes.com/userphotos/300x300/883609.jpg,20,11.1 ,19.9,3.7 ,0 ,1 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/21208/honey-nut-granola/
Fast and Easy Pancakes,323,https://images.media-allrecipes.com/userphotos/300x300/217521.jpg,6,4.4 ,61.5,9.1 ,69 ,309 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/20918/fast-and-easy-pancakes/
Baby Spinach Omelet,186,https://images.media-allrecipes.com/userphotos/300x300/4520180.jpg,1,12.3 ,2.8,16.4 ,379 ,279 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/69471/baby-spinach-omelet/
Banana Crepes,518,https://images.media-allrecipes.com/userphotos/300x300/5441.jpg,6,28.7 ,60.7,8 ,146 ,252 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/25216/banana-crepes/
Whole Wheat Pancakes,548,https://images.media-allrecipes.com/userphotos/300x300/2433255.jpg,4,29.5 ,57.2,17 ,163 ,1079 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/16488/whole-wheat-pancakes/
Zucchini Bread,257,https://images.media-allrecipes.com/userphotos/300x300/4529954.jpg,24,13.1 ,33.7,3 ,25 ,71 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/6724/zucchini-bread/
Sausage Brunch Casserole,389,https://images.media-allrecipes.com/userphotos/300x300/1667550.jpg,12,31.8 ,9.3,15.1 ,114 ,671 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/21553/sausage-brunch-casserole/
Tender and Easy Buttermilk Waffles,318,https://images.media-allrecipes.com/userphotos/300x300/1120266.jpg,6,13 ,40.5,9.2 ,92 ,749 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/233920/tender-and-easy-buttermilk-waffles/
Chef John's Pumpkin Pancakes,284,https://images.media-allrecipes.com/userphotos/300x300/744197.jpg,6,7.9 ,46,7.9 ,36 ,704 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/219167/chef-johns-pumpkin-pancakes/
Oatmeal Banana Nut Bread,255,https://images.media-allrecipes.com/userphotos/300x300/238485.jpg,12,13 ,31.8,4.1 ,31 ,162 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/24575/oatmeal-banana-nut-bread/
Baked Omelet Squares,344,https://images.media-allrecipes.com/userphotos/300x300/550731.jpg,8,27.3 ,7.2,17.9 ,254 ,1087 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/77237/baked-omelet-squares/
Overnight Apple Cinnamon French Toast,375,https://images.media-allrecipes.com/userphotos/300x300/3137121.jpg,15,12.9 ,60.5,6.1 ,101 ,370 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/17063/overnight-apple-cinnamon-french-toast/
Whole Grain Breakfast Cookies,259,https://images.media-allrecipes.com/userphotos/300x300/885973.jpg,18,16.3 ,26.1,5.1 ,10 ,173 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/218671/whole-grain-breakfast-cookies/
Potato Skillet,485,https://images.media-allrecipes.com/userphotos/300x300/4519011.jpg,2,37.4 ,16,20.8 ,332 ,837 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/24156/potato-skillet/
Crab Quiche,346,https://images.media-allrecipes.com/userphotos/300x300/18443.jpg,8,26.1 ,16.9,11.4 ,154 ,691 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/71025/crab-quiche/
Monte Cristo Sandwich - the Real One,305,https://images.media-allrecipes.com/userphotos/300x300/774502.jpg,8,17.9 ,23.7,12.2 ,50 ,808 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/55409/monte-cristo-sandwich-the-real-one/
Banana Nut Bread II,347,https://images.media-allrecipes.com/userphotos/300x300/774293.jpg,10,14.6 ,49.3,6.2 ,39 ,561 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/7141/banana-nut-bread-ii/
Blueberry French Toast,374,https://images.media-allrecipes.com/userphotos/300x300/596285.jpg,12,14.7 ,49,12.6 ,212 ,371 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/23307/blueberry-french-toast/
Brunch Enchiladas,511,https://images.media-allrecipes.com/userphotos/300x300/4538649.jpg,10,31.2 ,30.8,26.2 ,173 ,1103 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/23760/brunch-enchiladas/
Home-Fried Potatoes,262,https://images.media-allrecipes.com/userphotos/300x300/60087.jpg,4,10.6 ,38.3,4.7 ,0 ,602 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/20462/home-fried-potatoes/
My-Hop Pancakes,194,https://images.media-allrecipes.com/userphotos/300x300/1119897.jpg,8,9.4 ,23.4,4.1 ,29 ,357 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/214499/my-hop-pancakes/
Baked Pumpkin Bread,162,https://images.media-allrecipes.com/userphotos/300x300/2659778.jpg,12,2.7 ,32.3,2.8 ,21 ,410 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/6845/baked-pumpkin-bread/
Creamy Strawberry Crepes,557,https://images.media-allrecipes.com/userphotos/300x300/2359367.jpg,6,36.8 ,49.4,9.8 ,205 ,406 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/143886/creamy-strawberry-crepes/
Farmer's Casserole,316,https://images.media-allrecipes.com/userphotos/300x300/5537696.jpg,6,22.4 ,21.4,17.8 ,173 ,576 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/22454/farmers-casserole/
Scrambled Egg Muffins,143,https://images.media-allrecipes.com/userphotos/300x300/2414284.jpg,12,10.6 ,1.6,10.2 ,202 ,365 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/222586/scrambled-egg-muffins/
Mother's Banana Bread,215,https://images.media-allrecipes.com/userphotos/300x300/202383.jpg,12,9.4 ,30.3,3.9 ,45 ,253 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/6690/mothers-banana-bread/
Monkey Bread II,389,https://images.media-allrecipes.com/userphotos/300x300/1111472.jpg,12,17.3 ,56.2,4.1 ,0 ,403 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/6864/monkey-bread-ii/
Emma's Belgian Waffles,445,https://images.media-allrecipes.com/userphotos/300x300/1752326.jpg,6,19 ,57.2,10.6 ,115 ,1279 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/23390/emmas-belgian-waffles/
Country Style Fried Potatoes,326,https://images.media-allrecipes.com/userphotos/300x300/3560799.jpg,6,11.7 ,52.1,4.8 ,0 ,400 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/20749/country-style-fried-potatoes/
Pumpkin Spiced Latte,158,https://images.media-allrecipes.com/userphotos/300x300/1462070.jpg,3,5.6 ,18.3,8.3 ,22 ,106 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/127890/pumpkin-spiced-latte/
Sunday Morning Lemon Poppy Seed Pancakes,237,https://images.media-allrecipes.com/userphotos/300x300/528453.jpg,4,8.5 ,33.3,6.5 ,65 ,649 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/214498/sunday-morning-lemon-poppy-seed-pancakes/
Kielbasa and Potato Bake,352,https://images.media-allrecipes.com/userphotos/300x300/10588.jpg,8,19.1 ,33.3,12 ,42 ,1364 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/21314/kielbasa-and-potato-bake/
Fluffy and Delicious Pancakes,236,https://images.media-allrecipes.com/userphotos/300x300/1090164.jpg,4,8.2 ,33.5,6.4 ,65 ,649 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/236165/fluffy-and-delicious-pancakes/
Chocolate Wave Zucchini Bread,263,https://images.media-allrecipes.com/userphotos/300x300/439773.jpg,12,10.5 ,40.4,4 ,31 ,227 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/6731/chocolate-wave-zucchini-bread/
Crab and Swiss Quiche,343,https://images.media-allrecipes.com/userphotos/300x300/543260.jpg,8,25.7 ,17.2,11.2 ,77 ,496 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/20750/crab-and-swiss-quiche/
Dominican Style Oatmeal,220,https://images.media-allrecipes.com/userphotos/300x300/2768522.jpg,2,5.1 ,35.3,8.7 ,15 ,154 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/202760/dominican-style-oatmeal/
Sausage Crescent Rolls,225,https://images.media-allrecipes.com/userphotos/300x300/11644.jpg,20,18 ,9.4,5.4 ,28 ,363 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/21746/sausage-crescent-rolls/
Deluxe Waffles,410,https://images.media-allrecipes.com/userphotos/300x300/1284906.jpg,6,22.7 ,41.6,10.2 ,141 ,695 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/7212/deluxe-waffles/
Eggs Benedict Casserole,281,https://images.media-allrecipes.com/userphotos/300x300/3518037.jpg,10,14.1 ,21.2,17.5 ,174 ,1053 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/221988/eggs-benedict-casserole/
Ham and Cheese Breakfast Quiche,461,https://images.media-allrecipes.com/userphotos/300x300/16129.jpg,5,32.9 ,25.2,17.6 ,176 ,663 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/16375/ham-and-cheese-breakfast-quiche/
Breakfast Pizza I,342,https://images.media-allrecipes.com/userphotos/300x300/125688.jpg,8,22.1 ,15.9,20.8 ,165 ,821 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/20697/breakfast-pizza-i/
Pear Bread II,304,https://images.media-allrecipes.com/userphotos/300x300/2294769.jpg,20,15.8 ,38.5,3.5 ,28 ,208 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/24019/pear-bread-ii/
Authentic Mexican Breakfast Tacos,537,https://images.media-allrecipes.com/userphotos/300x300/19492.jpg,4,34.1 ,27.7,30.6 ,343 ,1298 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/85185/authentic-mexican-breakfast-tacos/
Delicious Gluten-Free Pancakes,147,https://images.media-allrecipes.com/userphotos/300x300/385145.jpg,10,5.8 ,20.4,3.1 ,29 ,269 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/33176/delicious-gluten-free-pancakes/
Egg and Hash Brown Pie,223,https://images.media-allrecipes.com/userphotos/300x300/2991529.jpg,8,17 ,12,13.5 ,147 ,361 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/20917/egg-and-hash-brown-pie/
Ultimate Breakfast Casserole,444,https://images.media-allrecipes.com/userphotos/300x300/256726.jpg,8,37.1 ,26.7,16.7 ,143 ,922 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/21857/ultimate-breakfast-casserole/
Egg and Cheese Puffs,251,https://images.media-allrecipes.com/userphotos/300x300/620391.jpg,24,21 ,3.4,12.2 ,120 ,550 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/25354/egg-and-cheese-puffs/
Easy Swedish Pancakes,252,https://images.media-allrecipes.com/userphotos/300x300/3500474.jpg,4,13.3 ,21.1,12 ,211 ,161 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/52581/easy-swedish-pancakes/
Paleo Omelet Muffins,308,https://images.media-allrecipes.com/userphotos/300x300/1364436.jpg,4,20.5 ,6.8,23.8 ,403 ,1008 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/228091/paleo-omelet-muffins/
Extra-Yummy Fluffy Pancakes,218,https://images.media-allrecipes.com/userphotos/300x300/678837.jpg,6,9.7 ,27,5.6 ,35 ,493 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/216755/extra-yummy-fluffy-pancakes/
Classic Hash Browns,334,https://images.media-allrecipes.com/userphotos/300x300/5466502.jpg,2,19.4 ,37.5,4.4 ,49 ,13 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/220520/classic-hash-browns/
Pumpkin French Toast Bake,305,https://images.media-allrecipes.com/userphotos/300x300/718700.jpg,8,8.5 ,46.2,11.5 ,190 ,598 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/217955/pumpkin-french-toast-bake/
Chef John's Baked Eggs,560,https://images.media-allrecipes.com/userphotos/300x300/1003203.jpg,1,35.9 ,39.2,20.6 ,418 ,1075 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/223363/chef-johns-baked-eggs/
Big Germans ,358,https://images.media-allrecipes.com/userphotos/300x300/5277018.jpg,4,20.9 ,31.1,11.7 ,229 ,343 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/20520/big-germans/
Banana Nut Bread III,205,https://images.media-allrecipes.com/userphotos/300x300/1420507.jpg,16,10.1 ,26.9,2.7 ,23 ,162 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/9460/banana-nut-bread-iii/
Creamy Cheesy Scrambled Eggs with Basil,297,https://images.media-allrecipes.com/userphotos/300x300/242360.jpg,2,23 ,2.5,20.2 ,410 ,355 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/194425/creamy-cheesy-scrambled-eggs-with-basil/
Yummy Quiche,557,https://images.media-allrecipes.com/userphotos/300x300/1620154.jpg,8,44.4 ,17.1,22.6 ,201 ,894 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/22190/yummy-quiche/
Overnight French Toast II,723,https://images.media-allrecipes.com/userphotos/300x300/4932.jpg,5,26.5 ,104,19.5 ,241 ,947 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/24130/overnight-french-toast-ii/
Caramelized French Toast,248,https://images.media-allrecipes.com/userphotos/300x300/1029024.jpg,8,10.6 ,31.4,7.2 ,156 ,312 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/24571/caramelized-french-toast/
Great Easy Waffles,505,https://images.media-allrecipes.com/userphotos/300x300/793133.jpg,4,22.5 ,61.3,13.8 ,158 ,740 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/171978/great-easy-waffles/
Strawnana Bread,258,https://images.media-allrecipes.com/userphotos/300x300/67315.jpg,24,13.4 ,32.4,3.6 ,31 ,113 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/7158/strawnana-bread/
