Name,Calories,Image URL,Serving Size,Fat(g),Carbohydrate(g),Protein(g),Cholesterol(mg),Sodium(mg),Category,URL
The Best Sweet and Sour Meatballs,516,https://images.media-allrecipes.com/userphotos/300x300/550246.jpg,4,16.8 ,67.1,24.5 ,122 ,815 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26673/the-best-sweet-and-sour-meatballs/
Corn Fritters,133,https://images.media-allrecipes.com/userphotos/300x300/4538052.jpg,12,7.8 ,14,2.7 ,18 ,224 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/18040/corn-fritters/
Fresh Tomato Salsa,51,https://images.media-allrecipes.com/userphotos/300x300/797844.jpg,4,0.2 ,9.7,2.1 ,0 ,592 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14088/fresh-tomato-salsa/
Southern Pimento Cheese,208,https://images.media-allrecipes.com/userphotos/300x300/645301.jpg,12,19.9 ,2.1,6.3 ,44 ,229 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/189930/southern-pimento-cheese/
Baked Chicken Wings,532,https://images.media-allrecipes.com/userphotos/300x300/4496634.jpg,2,43.1 ,3.9,31.7 ,97 ,123 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/187822/baked-chicken-wings/
Black Bean Hummus,81,https://images.media-allrecipes.com/userphotos/300x300/342529.jpg,8,3.1 ,10.3,3.9 ,0 ,427 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/13930/black-bean-hummus/
Spiced Sweet Roasted Red Pepper Hummus,64,https://images.media-allrecipes.com/userphotos/300x300/782898.jpg,8,2.2 ,9.6,2.5 ,0 ,370 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15006/spiced-sweet-roasted-red-pepper-hummus/
Baked Ham and Cheese Party Sandwiches,208,https://images.media-allrecipes.com/userphotos/300x300/4502246.jpg,24,14 ,10.8,9.8 ,43 ,439 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/216756/baked-ham-and-cheese-party-sandwiches/
Hot Artichoke Spinach Dip,82,https://images.media-allrecipes.com/userphotos/300x300/515229.jpg,16,6 ,3.1,4.3 ,19 ,203 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14814/hot-artichoke-spinach-dip/
Vietnamese Fresh Spring Rolls,82,https://images.media-allrecipes.com/userphotos/300x300/5265636.jpg,8,0.7 ,15.8,3.3 ,11 ,305 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24239/vietnamese-fresh-spring-rolls/
