Name,Calories,Serving Size,Fat(g),Carbohydrate(g),Protein(g),Cholesterol(mg),Sodium(mg),Category,URL
Chicken Makhani (Indian Butter Chicken),408,4,27.8 ,15.6,23.4 ,107 ,523 ,Chicken,https://www.allrecipes.com/recipe/45957/chicken-makhani-indian-butter-chicken/
Crispy Rosemary Chicken and Fries,497,6,31.9 ,27.6,24.4 ,78 ,107 ,Chicken,https://www.allrecipes.com/recipe/77489/crispy-rosemary-chicken-and-fries/
Irish Chicken and Dumplings,595,6,9.2 ,94.4,33.9 ,58 ,2402 ,Chicken,https://www.allrecipes.com/recipe/11843/irish-chicken-and-dumplings/
Garlic-Lemon Double Stuffed Chicken,642,8,44.7 ,19,40.4 ,184 ,1049 ,Chicken,https://www.allrecipes.com/recipe/68380/garlic-lemon-double-stuffed-chicken/
Pollo Fajitas,210,5,8.3 ,5.7,27.6 ,113 ,344 ,Chicken,https://www.allrecipes.com/recipe/8580/pollo-fajitas/
Chicken and Dumplings III,376,6,18.3 ,31.4,20.8 ,68 ,1377 ,Chicken,https://www.allrecipes.com/recipe/15867/chicken-and-dumplings-iii/
White Bean Chicken Chili,220,9,6.1 ,21.2,20.1 ,40 ,786 ,Chicken,https://www.allrecipes.com/recipe/13010/white-bean-chicken-chili/
Savory Chicken Breasts,497,4,24.1 ,27.1,40.9 ,125 ,896 ,Chicken,https://www.allrecipes.com/recipe/15063/savory-chicken-breasts/
Blackened Chicken,135,2,3 ,0.9,24.7 ,67 ,205 ,Chicken,https://www.allrecipes.com/recipe/8571/blackened-chicken/
Oven Fried Chicken III,690,5,53.2 ,17.9,34.1 ,114 ,967 ,Chicken,https://www.allrecipes.com/recipe/8963/oven-fried-chicken-iii/
Chicken Scampi II,458,4,38 ,1.4,27.7 ,129 ,678 ,Chicken,https://www.allrecipes.com/recipe/8761/chicken-scampi-ii/
Curried Honey Mustard Chicken,374,4,17.1 ,27.6,27.8 ,109 ,563 ,Chicken,https://www.allrecipes.com/recipe/8857/curried-honey-mustard-chicken/
Chicken Quesadillas,244,20,11.3 ,21.8,13.7 ,35 ,504 ,Chicken,https://www.allrecipes.com/recipe/21659/chicken-quesadillas/
Slow Cooker Chicken Pot Pie Stew,263,16,6.9 ,33.7,17.1 ,37 ,1416 ,Chicken,https://www.allrecipes.com/recipe/180118/slow-cooker-chicken-pot-pie-stew/
Easy Honey Mustard Mozzarella Chicken,465,4,12.3 ,55,36.3 ,95 ,856 ,Chicken,https://www.allrecipes.com/recipe/85256/easy-honey-mustard-mozzarella-chicken/
Spinach Stuffed Chicken Breast,356,4,20.5 ,5.7,36.5 ,113 ,565 ,Chicken,https://www.allrecipes.com/recipe/72392/spinach-stuffed-chicken-breast/
Simple Whole Roasted Chicken,387,6,22.8 ,1.6,41 ,129 ,900 ,Chicken,https://www.allrecipes.com/recipe/70679/simple-whole-roasted-chicken/
Amy's Garlic Egg Chicken,508,4,28.5 ,24.6,37.5 ,182 ,1562 ,Chicken,https://www.allrecipes.com/recipe/19886/amys-garlic-egg-chicken/
Quick and Easy Green Chile Chicken Enchilada Casserole,488,8,25.2 ,32.6,33.1 ,95 ,955 ,Chicken,https://www.allrecipes.com/recipe/44989/quick-and-easy-green-chile-chicken-enchilada-casserole/
Chicken and Gnocchi Soup,398,6,20.1 ,23.9,29.8 ,112 ,839 ,Chicken,https://www.allrecipes.com/recipe/218794/chicken-and-gnocchi-soup/
Pesto Pasta with Chicken,328,8,10.1 ,43.3,17.4 ,22 ,154 ,Chicken,https://www.allrecipes.com/recipe/46982/pesto-pasta-with-chicken/
Creamy White Chili,334,8,15.1 ,29.7,21.3 ,63 ,888 ,Chicken,https://www.allrecipes.com/recipe/229949/creamy-white-chili/
Aimee's Quick Chicken,242,4,7.2 ,8.8,32.4 ,81 ,1793 ,Chicken,https://www.allrecipes.com/recipe/25364/aimees-quick-chicken/
Oven Fried Chicken II,310,10,15.1 ,18,23.8 ,126 ,296 ,Chicken,https://www.allrecipes.com/recipe/8841/oven-fried-chicken-ii/
Chicken Noodle Soup,227,10,8.1 ,18.2,19.2 ,74 ,1124 ,Chicken,https://www.allrecipes.com/recipe/8562/chicken-noodle-soup/
Chicken and Red Wine Sauce,214,12,3.5 ,19,22.2 ,59 ,248 ,Chicken,https://www.allrecipes.com/recipe/19125/chicken-and-red-wine-sauce/
Fruity Curry Chicken Salad,229,8,14 ,12.3,15.1 ,44 ,188 ,Chicken,https://www.allrecipes.com/recipe/8932/fruity-curry-chicken-salad/
Bubba's Jambalaya,349,12,13.8 ,32.3,22.7 ,72 ,1177 ,Chicken,https://www.allrecipes.com/recipe/77572/bubbas-jambalaya/
Pesto Cheesy Chicken Rolls,585,4,40.3 ,5.6,49.5 ,123 ,886 ,Chicken,https://www.allrecipes.com/recipe/57319/pesto-cheesy-chicken-rolls/
"Broccoli, Rice, Cheese, and Chicken Casserole",756,8,30.8 ,82.7,36 ,110 ,1642 ,Chicken,https://www.allrecipes.com/recipe/25490/broccoli-rice-cheese-and-chicken-casserole/
Baked Lemon Chicken with Mushroom Sauce,240,6,13 ,5.2,26.3 ,88 ,196 ,Chicken,https://www.allrecipes.com/recipe/8714/baked-lemon-chicken-with-mushroom-sauce/
Indian Chicken Curry (Murgh Kari),427,6,24.3 ,14.7,38.1 ,95 ,1370 ,Chicken,https://www.allrecipes.com/recipe/212721/indian-chicken-curry-murgh-kari/
Broccoli Chicken Casserole I,427,4,19 ,23.1,40.2 ,99 ,1031 ,Chicken,https://www.allrecipes.com/recipe/8965/broccoli-chicken-casserole-i/
Slow Cooker Chicken Cacciatore,261,6,6.1 ,23.7,27.1 ,63 ,590 ,Chicken,https://www.allrecipes.com/recipe/8817/slow-cooker-chicken-cacciatore/
Salsa Chicken Burrito Filling,107,4,1.5 ,9.6,12.3 ,30 ,923 ,Chicken,https://www.allrecipes.com/recipe/22970/salsa-chicken-burrito-filling/
Lemon Cream Pasta with Chicken,519,4,24.5 ,48.1,29.8 ,133 ,85 ,Chicken,https://www.allrecipes.com/recipe/26277/lemon-cream-pasta-with-chicken/
Garlic Chicken with Orzo Noodles,351,4,10.6 ,40.4,22.3 ,38 ,164 ,Chicken,https://www.allrecipes.com/recipe/84109/garlic-chicken-with-orzo-noodles/
Becky's Chicken Salad,274,10,23.6 ,5,11 ,43 ,388 ,Chicken,https://www.allrecipes.com/recipe/8565/beckys-chicken-salad/
Easy Cheesy Chicken I,364,6,19.6 ,13.3,32.7 ,101 ,1146 ,Chicken,https://www.allrecipes.com/recipe/8532/easy-cheesy-chicken-i/
Chicken Wild Rice Soup I,529,8,32 ,28.7,32.7 ,97 ,1514 ,Chicken,https://www.allrecipes.com/recipe/18448/chicken-wild-rice-soup-i/
Crispy Herb Baked Chicken,557,4,31.5 ,6.9,58.8 ,217 ,837 ,Chicken,https://www.allrecipes.com/recipe/8509/crispy-herb-baked-chicken/
Grandma's Chicken Chardon,281,8,11.6 ,13,30.3 ,110 ,334 ,Chicken,https://www.allrecipes.com/recipe/69022/grandmas-chicken-chardon/
Jambalaya,465,6,19.8 ,42.4,28.1 ,73 ,1633 ,Chicken,https://www.allrecipes.com/recipe/31848/jambalaya/
Pineapple Chicken Tenders,160,10,2.2 ,14.7,19.4 ,52 ,332 ,Chicken,https://www.allrecipes.com/recipe/14526/pineapple-chicken-tenders/
Triple Dipped Fried Chicken,661,6,18.6 ,73.2,42.4 ,168 ,1840 ,Chicken,https://www.allrecipes.com/recipe/89268/triple-dipped-fried-chicken/
Slow Cooker Adobo Chicken,254,6,14.7 ,5.3,23 ,61 ,1121 ,Chicken,https://www.allrecipes.com/recipe/15650/slow-cooker-adobo-chicken/
Layered Chicken and Black Bean Enchilada Casserole,366,8,23.7 ,16.4,23 ,92 ,508 ,Chicken,https://www.allrecipes.com/recipe/54215/layered-chicken-and-black-bean-enchilada-casserole/
Jennie's Heavenly Slow Cooker Chicken,456,4,28.3 ,13,26 ,133 ,1672 ,Chicken,https://www.allrecipes.com/recipe/215033/jennies-heavenly-slow-cooker-chicken/
Chicken Tetrazzini IV,730,4,42.6 ,52.7,33.1 ,173 ,919 ,Chicken,https://www.allrecipes.com/recipe/17646/chicken-tetrazzini-iv/
Boudreaux's Zydeco Stomp Gumbo,437,10,29.3 ,18.5,21.7 ,105 ,2052 ,Chicken,https://www.allrecipes.com/recipe/21392/boudreauxs-zydeco-stomp-gumbo/
Chicken Katsu,297,4,11.4 ,22.2,31.2 ,118 ,251 ,Chicken,https://www.allrecipes.com/recipe/72068/chicken-katsu/
Kathy's Delicious Whole Slow Cooker Chicken,393,6,27.6 ,14.3,22.1 ,62 ,950 ,Chicken,https://www.allrecipes.com/recipe/72133/kathys-delicious-whole-slow-cooker-chicken/
Apple Stuffed Chicken Breast,139,4,5.1 ,4.9,15 ,46 ,120 ,Chicken,https://www.allrecipes.com/recipe/8546/apple-stuffed-chicken-breast/
Chicken and Corn Chili,188,6,2.3 ,22.6,20.4 ,41 ,1012 ,Chicken,https://www.allrecipes.com/recipe/12906/chicken-and-corn-chili/
Hawaiian Chicken Kabobs,203,8,4.2 ,17.1,23.6 ,61 ,413 ,Chicken,https://www.allrecipes.com/recipe/20415/hawaiian-chicken-kabobs/
Easy Chicken Tetrazzini,473,8,17.3 ,48.2,29.2 ,77 ,898 ,Chicken,https://www.allrecipes.com/recipe/11780/easy-chicken-tetrazzini/
Easy and Delicious Chicken,406,6,28.9 ,8.8,27.3 ,107 ,1457 ,Chicken,https://www.allrecipes.com/recipe/8749/easy-and-delicious-chicken/
Quick and Easy Chicken,255,4,8.3 ,16.4,28.3 ,68 ,655 ,Chicken,https://www.allrecipes.com/recipe/8545/quick-and-easy-chicken/
Greek Penne and Chicken,685,4,13.2 ,96.2,47 ,94 ,826 ,Chicken,https://www.allrecipes.com/recipe/11998/greek-penne-and-chicken/
Easy Cajun Jambalaya,488,6,13.8 ,58.5,29.1 ,74 ,1082 ,Chicken,https://www.allrecipes.com/recipe/31833/easy-cajun-jambalaya/
Southwest Chicken,310,4,6.4 ,27.9,35 ,68 ,863 ,Chicken,https://www.allrecipes.com/recipe/15302/southwest-chicken/
Feta Chicken,224,6,7.8 ,4.6,32 ,94 ,481 ,Chicken,https://www.allrecipes.com/recipe/8933/feta-chicken/
Jay's Jerk Chicken,385,4,18.2 ,15.4,39.2 ,97 ,2798 ,Chicken,https://www.allrecipes.com/recipe/8667/jays-jerk-chicken/
Chicken Enchilada Casserole II,537,12,28.1 ,39.9,31.4 ,95 ,1131 ,Chicken,https://www.allrecipes.com/recipe/8945/chicken-enchilada-casserole-ii/
Pad Thai,524,6,20.7 ,58.5,26.4 ,178 ,594 ,Chicken,https://www.allrecipes.com/recipe/42968/pad-thai/
Amber's Sesame Chicken,438,6,19.5 ,27.7,37.8 ,82 ,325 ,Chicken,https://www.allrecipes.com/recipe/65924/ambers-sesame-chicken/
Maria's Stuffed Chicken Breasts,578,4,26.3 ,26.3,58.3 ,231 ,1101 ,Chicken,https://www.allrecipes.com/recipe/20611/marias-stuffed-chicken-breasts/
Easy Shake and Bake Chicken,460,6,32.6 ,8.2,31.9 ,138 ,590 ,Chicken,https://www.allrecipes.com/recipe/8944/easy-shake-and-bake-chicken/
Chicken Breasts with Lime Sauce,455,4,30 ,15.3,30.7 ,164 ,335 ,Chicken,https://www.allrecipes.com/recipe/34137/chicken-breasts-with-lime-sauce/
Oh-So-Good Chicken,357,5,18.7 ,25.4,22.4 ,65 ,717 ,Chicken,https://www.allrecipes.com/recipe/8522/oh-so-good-chicken/
Baked Apricot Chicken,342,12,20.1 ,23.3,15.9 ,59 ,444 ,Chicken,https://www.allrecipes.com/recipe/8840/baked-apricot-chicken/
Mamaw's Chicken and Rice Casserole,441,6,25 ,36.7,16.8 ,81 ,1211 ,Chicken,https://www.allrecipes.com/recipe/233983/mamaws-chicken-and-rice-casserole/
Slow Cooker Latin Chicken,591,6,18.1 ,56.9,50.2 ,137 ,980 ,Chicken,https://www.allrecipes.com/recipe/177078/slow-cooker-latin-chicken/
Mexican Chicken Corn Chowder,367,8,21.3 ,15.1,30 ,109 ,868 ,Chicken,https://www.allrecipes.com/recipe/13019/mexican-chicken-corn-chowder/
Peanut Butter Vegetable Chicken Soup,229,8,11.1 ,13.4,20 ,26 ,935 ,Chicken,https://www.allrecipes.com/recipe/12889/peanut-butter-vegetable-chicken-soup/
Chicken Fiesta Salad,311,4,6.4 ,42.2,23 ,36 ,1606 ,Chicken,https://www.allrecipes.com/recipe/14316/chicken-fiesta-salad/
Bacon Wrapped Chicken,638,4,50.7 ,8.9,35.7 ,137 ,1061 ,Chicken,https://www.allrecipes.com/recipe/8839/bacon-wrapped-chicken/
Spicy Chicken Breasts,173,4,2.4 ,9.2,29.2 ,68 ,1826 ,Chicken,https://www.allrecipes.com/recipe/14537/spicy-chicken-breasts/
Basic Chicken Salad,779,2,63.1 ,8.4,44.3 ,126 ,403 ,Chicken,https://www.allrecipes.com/recipe/8499/basic-chicken-salad/
Bourbon Pecan Chicken,486,8,33.1 ,15.5,28.6 ,134 ,537 ,Chicken,https://www.allrecipes.com/recipe/69792/bourbon-pecan-chicken/
"Chicken with Garlic, Basil, and Parsley",150,4,3.1 ,4.1,25.6 ,67 ,355 ,Chicken,https://www.allrecipes.com/recipe/89321/chicken-with-garlic-basil-and-parsley/
Amazing Italian Lemon Butter Chicken,660,6,44.9 ,37.4,26.8 ,155 ,660 ,Chicken,https://www.allrecipes.com/recipe/88108/amazing-italian-lemon-butter-chicken/
Chicken Satay,162,12,3 ,4.1,28.8 ,68 ,694 ,Chicken,https://www.allrecipes.com/recipe/17511/chicken-satay/
Sour Cream Chicken Enchiladas,265,12,13.3 ,22.8,13.1 ,40 ,664 ,Chicken,https://www.allrecipes.com/recipe/16701/sour-cream-chicken-enchiladas/
Parmesan Chicken II,466,6,26.7 ,1.4,51.8 ,225 ,981 ,Chicken,https://www.allrecipes.com/recipe/8636/parmesan-chicken-ii/
Slow Cooker Butter Chicken,480,6,33.3 ,17.2,30.6 ,103 ,442 ,Chicken,https://www.allrecipes.com/recipe/174543/slow-cooker-butter-chicken/
Better Than Best Fried Chicken,531,4,29.3 ,32.5,32.4 ,121 ,596 ,Chicken,https://www.allrecipes.com/recipe/24778/better-than-best-fried-chicken/
Sweet Mustard Chicken Bake,468,4,25.4 ,38.1,23.3 ,122 ,590 ,Chicken,https://www.allrecipes.com/recipe/82693/sweet-mustard-chicken-bake/
Bourbon Chicken,313,4,1.5 ,31.2,29.3 ,68 ,1664 ,Chicken,https://www.allrecipes.com/recipe/9025/bourbon-chicken/
Buffalo Chicken Fingers,125,8,2 ,10.7,15 ,34 ,263 ,Chicken,https://www.allrecipes.com/recipe/8501/buffalo-chicken-fingers/
Baked Paprika-Parmesan Chicken,375,4,18.6 ,7.7,42.5 ,176 ,683 ,Chicken,https://www.allrecipes.com/recipe/102235/baked-paprika-parmesan-chicken/
Quick Bruschetta Chicken Bake,349,6,8.5 ,25.9,39.2 ,90 ,1257 ,Chicken,https://www.allrecipes.com/recipe/132127/quick-bruschetta-chicken-bake/
Asian Chicken Salad,414,6,18 ,39.2,22.7 ,55 ,225 ,Chicken,https://www.allrecipes.com/recipe/14252/asian-chicken-salad/
Mediterranean Quinoa Salad,278,8,13.9 ,20.1,18.4 ,45 ,713 ,Chicken,https://www.allrecipes.com/recipe/169583/mediterranean-quinoa-salad/
Rosemary Chicken with Orange-Maple Glaze,398,4,14.2 ,33.9,27.8 ,84 ,414 ,Chicken,https://www.allrecipes.com/recipe/23813/rosemary-chicken-with-orange-maple-glaze/
Spinach Chicken Parmesan,186,6,4.8 ,3.6,30.8 ,78 ,185 ,Chicken,https://www.allrecipes.com/recipe/8823/spinach-chicken-parmesan/
Balsamic Chicken  ,194,4,4.9 ,9.8,26.4 ,66 ,79 ,Chicken,https://www.allrecipes.com/recipe/103144/balsamic-chicken/
General Tsao's Chicken,842,6,40.5 ,60.7,56.5 ,163 ,2057 ,Chicken,https://www.allrecipes.com/recipe/8890/general-tsaos-chicken/
Mom's Chicken Cacciatore,670,8,38.1 ,28.9,46.9 ,170 ,423 ,Chicken,https://www.allrecipes.com/recipe/8796/moms-chicken-cacciatore/
Sweet and Sour Chicken III,259,4,9.4 ,19.9,23.7 ,59 ,603 ,Chicken,https://www.allrecipes.com/recipe/17747/sweet-and-sour-chicken-iii/
Grilled Lemon Chicken,264,4,15 ,3.7,27.5 ,68 ,462 ,Chicken,https://www.allrecipes.com/recipe/88817/grilled-lemon-chicken/
Chicken in a Pot,206,4,6.6 ,6.9,28.7 ,73 ,402 ,Chicken,https://www.allrecipes.com/recipe/16611/chicken-in-a-pot/
Fruited Curry Chicken Salad,306,8,23 ,11.5,15 ,44 ,153 ,Chicken,https://www.allrecipes.com/recipe/15735/fruited-curry-chicken-salad/
Chicken Pot Pie I,245,8,11.1 ,20.5,15.2 ,33 ,627 ,Chicken,https://www.allrecipes.com/recipe/12281/chicken-pot-pie-i/
Easy and Delicious Chicken and Rice Casserole,314,5,5 ,38.8,26.2 ,60 ,959 ,Chicken,https://www.allrecipes.com/recipe/8895/easy-and-delicious-chicken-and-rice-casserole/
Swiss Chicken Casserole I,568,6,29.1 ,34.1,40.7 ,140 ,1171 ,Chicken,https://www.allrecipes.com/recipe/8497/swiss-chicken-casserole-i/
Chicken with Asparagus and Roasted Red Peppers,184,4,5 ,6.5,27.6 ,68 ,316 ,Chicken,https://www.allrecipes.com/recipe/90481/chicken-with-asparagus-and-roasted-red-peppers/
Easy Garlic Chicken,509,4,16.5 ,40.4,47 ,129 ,589 ,Chicken,https://www.allrecipes.com/recipe/8918/easy-garlic-chicken/
Quick Chicken Divan,323,8,24.4 ,9.4,16.1 ,51 ,743 ,Chicken,https://www.allrecipes.com/recipe/8533/quick-chicken-divan/
Cousin Cosmo's Greek Chicken,239,6,10.2 ,4.8,31 ,85 ,686 ,Chicken,https://www.allrecipes.com/recipe/28362/cousin-cosmos-greek-chicken/
White Chili I,357,4,9.7 ,27.8,39.3 ,81 ,490 ,Chicken,https://www.allrecipes.com/recipe/8627/white-chili-i/
Slow Cooker Sweet and Tangy Chicken,349,8,2.8 ,56.1,23.4 ,61 ,1461 ,Chicken,https://www.allrecipes.com/recipe/17025/slow-cooker-sweet-and-tangy-chicken/
Baked Bar-be-Que Chicken,504,6,28.7 ,23.3,35.3 ,142 ,832 ,Chicken,https://www.allrecipes.com/recipe/8619/baked-bar-be-que-chicken/
Jenny's Grilled Chicken Breasts,139,4,1.5 ,3,27.4 ,68 ,78 ,Chicken,https://www.allrecipes.com/recipe/16160/jennys-grilled-chicken-breasts/
Garlic Cheese Chicken Rollups,493,4,26.1 ,24.4,40.6 ,138 ,1081 ,Chicken,https://www.allrecipes.com/recipe/15448/garlic-cheese-chicken-rollups/
Feta Cheese and Bacon Stuffed Breasts,483,4,37.1 ,3.2,33.8 ,100 ,529 ,Chicken,https://www.allrecipes.com/recipe/16682/feta-cheese-and-bacon-stuffed-breasts/
Garlic Chicken Stir Fry,337,4,8.6 ,32.3,31.7 ,67 ,1364 ,Chicken,https://www.allrecipes.com/recipe/8934/garlic-chicken-stir-fry/
Easy Paella,736,8,35.1 ,45.7,55.7 ,202 ,1204 ,Chicken,https://www.allrecipes.com/recipe/84137/easy-paella/
Grilled Asian Chicken,217,4,7.6 ,10.6,25.7 ,67 ,961 ,Chicken,https://www.allrecipes.com/recipe/8919/grilled-asian-chicken/
Delicious Chicken Casserole,385,8,26 ,21.1,16.3 ,79 ,948 ,Chicken,https://www.allrecipes.com/recipe/81027/delicious-chicken-casserole/
Thai Green Curry Chicken,472,4,40.9 ,14.6,27.1 ,57 ,935 ,Chicken,https://www.allrecipes.com/recipe/141833/thai-green-curry-chicken/
Slow Cooker Chicken Marrakesh,290,8,2 ,36,30.6 ,66 ,625 ,Chicken,https://www.allrecipes.com/recipe/218769/slow-cooker-chicken-marrakesh/
Romantic Chicken with Artichokes and Mushrooms,312,4,16.2 ,9.6,25 ,75 ,426 ,Chicken,https://www.allrecipes.com/recipe/20704/romantic-chicken-with-artichokes-and-mushrooms/
Thai Peanut Chicken,360,8,11.3 ,43.4,21 ,34 ,410 ,Chicken,https://www.allrecipes.com/recipe/50658/thai-peanut-chicken/
Carol's Chicken Salad,293,9,19.5 ,10.3,19.4 ,60 ,279 ,Chicken,https://www.allrecipes.com/recipe/24822/carols-chicken-salad/
Famous Chicken Francaise,269,6,6.7 ,21.4,31.6 ,111 ,413 ,Chicken,https://www.allrecipes.com/recipe/15181/famous-chicken-francaise/
Greek Lemon Chicken Soup,124,16,6.6 ,9.1,7.8 ,110 ,1237 ,Chicken,https://www.allrecipes.com/recipe/12963/greek-lemon-chicken-soup/
Slow Cooker Dump and Go Cheesy Chicken,321,5,12.4 ,11.8,38.9 ,113 ,1034 ,Chicken,https://www.allrecipes.com/recipe/17024/slow-cooker-dump-and-go-cheesy-chicken/
Gumbo Style Chicken Creole,137,6,9.4 ,12.3,2.1 ,< 1 ,735 ,Chicken,https://www.allrecipes.com/recipe/24789/gumbo-style-chicken-creole/
Best Chicken Ever,431,6,30.5 ,11.6,27.7 ,131 ,248 ,Chicken,https://www.allrecipes.com/recipe/8907/best-chicken-ever/
Rigatoni alla Genovese,891,8,29.5 ,116.8,38.9 ,80 ,1022 ,Pasta,https://www.allrecipes.com/recipe/246866/rigatoni-alla-genovese/
Buffalo Chicken Stuffed Shells,698,6,29 ,62.8,44.4 ,126 ,1452 ,Pasta,https://www.allrecipes.com/recipe/234592/buffalo-chicken-stuffed-shells/
'Got Some Crust' Macaroni and Cheese,286,12,15.5 ,23.2,13.1 ,45 ,532 ,Pasta,https://www.allrecipes.com/recipe/60700/got-some-crust-macaroni-and-cheese/
Spaghetti Cacio e Pepe,806,4,36 ,87.8,31.6 ,54 ,633 ,Pasta,https://www.allrecipes.com/recipe/246628/spaghetti-cacio-e-pepe/
Baked Ziti Casserole,415,8,11.5 ,53.3,24.3 ,60 ,1141 ,Pasta,https://www.allrecipes.com/recipe/228411/baked-ziti-casserole/
Lighter Chicken Fettuccine Alfredo,759,6,41.8 ,59.6,37.8 ,239 ,505 ,Pasta,https://www.allrecipes.com/recipe/219965/lighter-chicken-fettuccine-alfredo/
Shrimp Fra Diavolo,339,8,2.4 ,54,24.2 ,115 ,795 ,Pasta,https://www.allrecipes.com/recipe/11731/shrimp-fra-diavolo/
Chuck's Favorite Mac and Cheese,591,6,33.3 ,45.5,26.8 ,88 ,720 ,Pasta,https://www.allrecipes.com/recipe/19368/chucks-favorite-mac-and-cheese/
Italian Sausage Soup with Tortellini,324,8,20.2 ,19.1,14.6 ,50 ,1145 ,Pasta,https://www.allrecipes.com/recipe/13436/italian-sausage-soup-with-tortellini/
Best Tuna Casserole,595,6,26.1 ,58.1,32.1 ,99 ,1061 ,Pasta,https://www.allrecipes.com/recipe/17219/best-tuna-casserole/
Classic Macaroni Salad,390,10,18.7 ,49.3,6.8 ,8 ,529 ,Pasta,https://www.allrecipes.com/recipe/81108/classic-macaroni-salad/
Jamie's Minestrone,227,8,8.3 ,30,8.6 ,1 ,1142 ,Pasta,https://www.allrecipes.com/recipe/13333/jamies-minestrone/
Homemade Mac and Cheese,858,4,48.7 ,66.7,37.7 ,142 ,879 ,Pasta,https://www.allrecipes.com/recipe/11679/homemade-mac-and-cheese/
Orzo with Parmesan and Basil,299,4,9.4 ,42.2,11.6 ,24 ,197 ,Pasta,https://www.allrecipes.com/recipe/11853/orzo-with-parmesan-and-basil/
Spaghetti Carbonara II,444,8,21.1 ,44.7,16.4 ,118 ,369 ,Pasta,https://www.allrecipes.com/recipe/11973/spaghetti-carbonara-ii/
Easy Tuna Casserole,462,8,28.5 ,37.1,11.5 ,23 ,706 ,Pasta,https://www.allrecipes.com/recipe/18871/easy-tuna-casserole/
Tuna Noodle Casserole from Scratch,546,6,31.2 ,39.9,27.2 ,121 ,786 ,Pasta,https://www.allrecipes.com/recipe/86069/tuna-noodle-casserole-from-scratch/
Peanut Butter Noodles,330,4,12 ,46.8,10.7 ,0 ,1188 ,Pasta,https://www.allrecipes.com/recipe/11835/peanut-butter-noodles/
Antipasto Pasta Salad,451,12,29.1 ,33.2,15 ,37 ,978 ,Pasta,https://www.allrecipes.com/recipe/14278/antipasto-pasta-salad/
Bacon Ranch Pasta Salad,336,10,26.8 ,14.9,9.3 ,31 ,691 ,Pasta,https://www.allrecipes.com/recipe/69226/bacon-ranch-pasta-salad/
Black Bean and Couscous Salad,253,8,5.8 ,41.1,10.3 ,0 ,415 ,Pasta,https://www.allrecipes.com/recipe/24833/black-bean-and-couscous-salad/
Mouse's Macaroni and Cheese,463,6,25.9 ,34.2,23 ,78 ,1333 ,Pasta,https://www.allrecipes.com/recipe/11805/mouses-macaroni-and-cheese/
Amish Macaroni Salad,532,6,25.3 ,66,9 ,133 ,944 ,Pasta,https://www.allrecipes.com/recipe/74915/amish-macaroni-salad/
Angel Hair Pasta with Shrimp and Basil,527,4,18.1 ,46.7,34 ,176 ,969 ,Pasta,https://www.allrecipes.com/recipe/12839/angel-hair-pasta-with-shrimp-and-basil/
Pasta Pomodoro,500,4,18.3 ,69.7,16.2 ,6 ,350 ,Pasta,https://www.allrecipes.com/recipe/23847/pasta-pomodoro/
Fettuccine with Sweet Pepper-Cayenne Sauce,475,4,13.9 ,69.3,20.3 ,37 ,403 ,Pasta,https://www.allrecipes.com/recipe/17702/fettuccine-with-sweet-pepper-cayenne-sauce/
Baked Ziti II,703,7,28.1 ,72.6,38.2 ,113 ,1111 ,Pasta,https://www.allrecipes.com/recipe/18031/baked-ziti-ii/
Shrimp and Mushroom Linguini with Creamy Cheese Herb Sauce,601,4,38.3 ,44,23.2 ,210 ,403 ,Pasta,https://www.allrecipes.com/recipe/11798/shrimp-and-mushroom-linguini-with-creamy-cheese-herb-sauce/
Shrimp Scampi,606,4,30.8 ,35.5,35.3 ,247 ,680 ,Pasta,https://www.allrecipes.com/recipe/19508/shrimp-scampi/
Penne Pasta with Spinach and Bacon,517,4,14.8 ,73.8,21 ,15 ,547 ,Pasta,https://www.allrecipes.com/recipe/73757/penne-pasta-with-spinach-and-bacon/
Greek Pasta Salad I,746,4,56.1 ,40.4,22.1 ,70 ,1279 ,Pasta,https://www.allrecipes.com/recipe/11689/greek-pasta-salad-i/
Mom's Favorite Baked Mac and Cheese,561,6,33.3 ,36.5,28.3 ,100 ,1194 ,Pasta,https://www.allrecipes.com/recipe/24321/moms-favorite-baked-mac-and-cheese/
Turkey Tetrazzini II,565,8,22.1 ,51.7,37.6 ,105 ,774 ,Pasta,https://www.allrecipes.com/recipe/40545/turkey-tetrazzini-ii/
Sarah's Rice Pilaf,244,4,6.5 ,40,5.9 ,18 ,524 ,Pasta,https://www.allrecipes.com/recipe/203951/sarahs-rice-pilaf/
Garlic Shrimp Linguine,287,8,4.9 ,42.3,17.6 ,77 ,126 ,Pasta,https://www.allrecipes.com/recipe/17048/garlic-shrimp-linguine/
Baked Ziti with Sausage,649,8,27.4 ,68.9,30.7 ,86 ,1485 ,Pasta,https://www.allrecipes.com/recipe/165350/baked-ziti-with-sausage/
Egg Noodles,206,7,3.8 ,35,7 ,59 ,40 ,Pasta,https://www.allrecipes.com/recipe/11991/egg-noodles/
Turkey Veggie Meatloaf Cups,119,10,1 ,13.6,13.2 ,47 ,244 ,Pasta,https://www.allrecipes.com/recipe/216688/turkey-veggie-meatloaf-cups/
Shrimp Fettuccine Alfredo,440,6,10.6 ,57.7,29.2 ,172 ,281 ,Pasta,https://www.allrecipes.com/recipe/23979/shrimp-fettuccine-alfredo/
Spinach and Orzo Salad,490,8,26.9 ,49,15.8 ,25 ,349 ,Pasta,https://www.allrecipes.com/recipe/26301/spinach-and-orzo-salad/
